Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
Cl-Dis,Cl-ISE,mg/l,Chloride - Dissolved,Specific Ion Electrode,Electrochemical Analysis,,,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is mixed with an ionic strength adjustor and read on a calibrated specific ion meter. The sample aliquot is consistently and slowly stirred and the Cl ion concentration is read at the same temperature as the standard solutions (a difference of 1°C will result in a 2% error) and compared to identically-prepared standard and blank solutions (the electrode should be calibrated hourly to ensure reproducibility).~r~n Interference: Temperature differences between sample aliquot and standard solutions must be carefully controlled.~r~n A surface layer of silver may be formed by reducing salts when the electrode needs to be polished. Mercury must be absent, and complexing chloride agents reduce the chloride concentration, as only free ions are measured.~r~n The method detection limit is 1.0 mg/L."
Cl-Dis,COL-SCN-Auto,mg/l,Chloride - Dissolved,Automated Ferricyanide Method,Colorimetry,SM 4500-Cl-E,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The method is based on the displacement of thiocyanate ion (SCN) from mercuric thiocyanate by chloride ion and the subsequent reaction of the liberated thiocyanate with ferric ion, from an acidified (nitric acid) ferric ammonium sulphate solution, forming a coloured complex with ferric thiocyanate. This colour is proportional to the original chloride concentration and is measured spectrometrically at 480 nm. The sample is compared to identically-prepared standard and blank solutions."
Cl-Dis,IC-CSC,mg/l,Chloride - Dissolved,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is injected into an eluent stream, passed through separator and suppressor columns packed with low capacity anion exchange resin. The chloride is separated, based on its affinity for the exchange sites, and the background conductivity of the eluent is reduced to a negligible level by being converted to its acid form. The concentration is measured by conductivity and identified by its retention time. The sample is compared to identically-prepared standard and blank solutions. Interferences from ions with similar retention time and large concentration of an adjacent anion are usually removed by dilution; particulate matter can clog the separator column, causing sluggish instrument performance."
Cl-Dis,T-COL-AgNO3,mg/l,Chloride - Dissolved,Argentometric Method,Titration,SM 4500-Cl-B,APHA 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. If a sample aliquot is highly coloured, add Al(OH)3 suspension, mix, let settle and filter; if sulphide, sulphite or thiosulphate is present, add H2O2 and stir for one minute. The pH of the sample should be between 7 and 10 (if not, adjust with diluted sulphuric acid or sodium hydroxide). Titrate with a standardised silver nitrate solution, using potassium chromate (See Appendix 8) as an indicator, to a pinkish yellow end point and compare to identically-prepared standard and blank solutions. Interference: Bromide, cyanide and iodide interfere as equivalent chloride concentrations; soluble reactive phosphorus in excess of 25 mg/L precipitates as silver phosphate; iron greater than 10 mg/L masks the end point. Calculation: mg/L Cl = (A - B) x N x 35.450/mL sample."
Cl-Dis,T-COL-Hg-NO3-2,mg/l,Chloride - Dissolved,Mercuric Nitrate Method,Titration,SM 4500-Cl-C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. If the total alkalinity of the sample aliquot is < 150 mg/L, add a diphenylcarbazone-acidifier indicator (see Appendix 8) and 10 mg of sodium bicarbonate to bring the pH to 2.5 ± 0.1 (error of about 1% per 0.1 pH unit change) and titrate with a standardized mercuric nitrate solution to a blue colour end-point. The measurements are then compared to identically-prepared standard and blank solutions. For high chloride concentrations, dilute the sample aliquot (use no more than 5 mL of titrant), add 0.5 mL of mixed indicator (See Appendix 8) and agitate (the colour should be purple). Add 0.1 N nitric acid dropwise until colour turns to yellow and titrate with standardized mercuric nitrate to the first permanent dark purple colour. The measurements are then compared to identically-prepared standard and blank solutions. Interference: Bromide and iodide are also titrated with mercuric chloride; chromate, ferric and sulphite ions interfere if the concentration is greater than 10 mg/L"
Cl-Dis,T-POT-AgNO3,mg/l,Chloride - Dissolved,Potentiometric Method,Titration,SM 4500-Cl-D,APHA 2012,"4°C. Neutralise the sample aliquot with nitric acid and add 2.0 mL in excess. Measure, by potentiometric titration, using a silver nitrate solution with a calibrated glass and silver-silver chloride electrode system. An electronic voltmeter detects the change in potential between the electrodes. The end point of the titration is when the instrument reads the greatest change in voltage for a small and consistent addition of silver nitrate (if the exact end point cannot be determined, plot the differential titration curve to inspect the data: plot the change in instrument reading for equal increments against the volume of silver nitrate added). Interference: Bromide and iodide are titrated as chloride; ferricyanide causes high results and needs to be removed; chromate and dichromate should be reduced to chromic state; iron interferes if present in concentration greater than chloride."
Cl-Tot,Cl-COL-PHOT,mg/l,Chloride - Total,Palintest Photometer Method - Chloride (CHLORIDOL),Colorimetry,PHOT.46.AUTO,PALINTEST 2013,"The Palintest Chloridol test is based on a tablet reagent system containing silver nitrate. Chlorides react with the silver nitrate to produce insoluble silver chloride. Select sample volume for testing as follows:~r~n (a) For Testing Boiler Condensate and Softened Waters (Range 0 - 50 mg/l Cl), fill test tube with sample to the 10 ml mark.~r~n (b) For Testing Natural Waters, Swimming Pools and Boiler Waters (Range 0 - 500 mg/l Cl), use the the measuring syringe to take 1 ml of sample. Transfer to the test tube and make-up to the 10 ml mark with deionised water.~r~n (c) For Testing Salt Chlorinator Treated Swimming Pools (Range 0 - 10,000 mg/l NaCl), use the measuring syringe to take 0.5 ml of sample. Transfer to the sample container (PT 510) then make-up to the 100 ml mark with deionised water. Cap tube and mix. Fill test tube to the 10 ml mark with solution from the sample container.~r~n (d) For Testing Sea Water and Brackish Waters (Range 0 - 50,000 mg/l NaCl), use the measuring syringe to take 0.1 ml of sample. Transfer to the sample container (PT 510) then make-up to the 100 ml mark with deionised water. Cap tube and mix. Fill test tube to the 10 ml mark with solution from the sample container.~r~n Add one Acidifying CD tablet, crush and mix to dissolve. Add one Chloridol tablet, allow the tablet to disintegrate for two minutes then crush any remaining particles and mix. A cloudy solution indicates the presence of chloride. Take photometer reading in usual manner.~r~n Testing range is 0 - 50 mg/l Cl and 0 - 50,000 mg/l NaCl"
Cl-Tot,T-COL-AgNO3,mg/l,Chloride - Total,Argentometric Method,Titration,SM 4500-Cl-B,APHA 1998,"(i)        Take 50 ml of clear sample.~r~n(ii) Directly titrate samples in the pH range 7 to 10.~r~n(iii) Adjust sample pH to (using a pH meter) between 7 and 10 with H2S04 or Na0H if it is not in this range.~r~n(iv)       Add 1 ml K2 Cr04 indicator solution, titrate with standard AgN03 titrant to a pinkish~r~n             yellow end point.  Be consistent in end-point recognition. If more than 25 ml is required,~r~n  take a smaller quantity and dilute to 50 ml before titration.~r~n(v) Establish reagent blank value by the titration method outlined above.  A blank of 0.2 to 0.3ml is usual.~r~n~r~nCALCULATIONS ~r~nMg Cl-/L = (A -B)x M x 35,450~r~n           ml sample~r~nWhere:~r~nA  = ml titration for sample~r~nB  = ml titration for blank~r~nM  = Molarity of AgNO3 ~r~n"
CN-Free,CN-COL-Merck,mg/l,Cyanide - Free,Spectroquant Cyanide Cell Test,Colorimetry,EN ISO 14403,ISO 1996,"Cyanide ions react with a chlorinating agent to produce cyanogen chloride, which is then reacted with 1,3-dimethyl-barbituric acid producing a violet dye (König reaction pyridine-free). This is measured photometrically."
CN-Tot,CN-COL-Merck,mg/l,Cyanide - Total,Spectroquant Cyanide Cell Test,Colorimetry,EN ISO 14403,ISO 1996,"Cyanide ions react with a chlorinating agent to produce cyanogen chloride, which is then reacted with 1,3-dimethyl-barbituric acid producing a violet dye (König reaction pyridine-free). This is measured photometrically."
CN-Tot,COL-PBA,mg/l,Cyanide - Total,Colorimetric Method (CN-),Colorimetry,SM 4500-CN-E,APHA 2012,"If turbid, a sample aliquot is decanted. On an autoanalyzer, the sample is acidified with phosphoric and hypophosphorous acid solution and irradiated with UV light to convert the complex cyanides to hydrocyanic acid, HCN. After irradiation, the sample is buffered at pH 5.2 with a potassium dihydrogen phosphate and disodium hydrogen phosphate solution and the HCN is distilled out of the phosphoric acids solution. It is then converted to cyanogen chloride, CNCl, by reaction with Chloradine-T. The CNCl is finally mixed with a mixture a Pyridine-Barbituric reagent and forms a blue dye. The intensity of the colour produced is measured spectrometrically at 580 nm, and compared to identically-prepared KCN standard and blank solutions. The chemistry is linear over the range 0.5 - 50 µg/L and the sampling rate is 30/hour.~r~n Interference: Sulphides interfere and should be removed prior to analysis."
COD,COD-T-COL-KMnO4,mg/l,Chemical Oxygen Demand,Oxygen Demand By Potassium Permanganate at 100°C,Titration,JIS K 0102 17,JSA 1998,"A sample is preserved in the field at 4°C. An acidified sample aliquot is digested with potassium permanganate in a boiling water bath for 30 minutes where reducing substances are oxidized along with part of the carbonaceous material. The remaining permanganate is reacted with a volume of sodium oxalate solution, equivalent to the permanganate originally added. Keeping the solution between 60-80°C [Japan maintains solution at 50-60 °C], the excess oxalate is back-titrated with the permanganate solution. The permanganate required in this back-titration is equivalent to the KMnO4 chemical oxygen demand. A reagent blank is identically treated. The Total COD is calculated from the difference between sample and blank aliquots."
COD,COL-CR,mg/l,Chemical Oxygen Demand,"Closed Reflux, Colorimetric Method",Colorimetry,SM 5220 D,APHA 2012,"Sample, blanks, and standards in sealed tubes are heated in an oven or block~r~n digester in the presence of potassium dichromate at 150°C. Sulfuric acid oxidzes the water samples, while chloride is masked with mercury sulphate. After two hours, the tubes are removed from the oven or digester, cooled, and measured spectrophotometrically at either 420 nm or 600 nm. The colorimetric determination may also be performed manually."
COD,T-COL-K2CrO7,mg/l,Chemical Oxygen Demand,Open Reflux Method,Titration,SM 5220 B,APHA 2012,"Most organic compounds are oxidised by potassium dichromate under acid condition. A sample is preserved in the field at 4°C. The sample aliquot is refluxed for two hours in concentrated H2SO4 with a known amount of K2Cr2O7, containing sulphamic acid against the interference of nitrites, HgSO4 against the interferences of chlorides, and Ag2SO4, as a catalyst for organic compounds. The sample is cooled and the excess dichromate is titrated with standardised ferrous ammonium sulphate (Fe(NH4)2(SO4)2), using ferroin (a complex of ferrous ion and 1,10-phenanthroline) as an indicator. The amount of oxidizable organic matter is proportional to the dichromate consumed. A reagent blank is identically analysed. The concentration of COD is calculated from the difference between sample and blank aliquots.~r~n The method detection limit is 1 mg/L."
Co-Tot,ICP-AES-Dgs,mg/l,Cobalt - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,"Inductively Coupled Plasma, by Optical Emission Spectrometry (ICP-OES) with open vessel rigorous digestion to near dryness. ICP 1503 (See Appendix 3).~r~n Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
Co-Tot,ICP-AES-Xtr,mg/l,Cobalt - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured at 228.6 nm and compared to identically-prepared standard and blank solutions."
Co-Tot,ICP-MS-CVD,mg/l,Cobalt - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Co-Tot,ICP-SFMS-CVD,mg/l,Cobalt - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
CO3,CO3-CALC,mg/l,Trioxidocarbonate(2-),Calculated (CO3),Calculation,,,If PA=0 then CO3= 0~r~n If PA <= TA/2 then CO3= 1.2*PA~r~n If PA> TA/2 then CO3= 1.2*(TA-PA)~r~n If TA<PA then no calculations~r~n If TA=PA and Not = 0 then no calculations~r~n PA = phenolphthalein alkalinity~r~n TA = total alkalinity~r~n The method detection limit is 0.5 mg/L.~r~n Caution: These calculated results are computed from measured analytical values according to the formula indicated. The computations may be in error if the parameters used in the calculation are subsequently edited or changed.
Cr-Dis,AAS-E,mg/l,Chromium - Dissolved,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is heated, usually in three stages in a graphite furnace or an electrically heated atomiser in which: the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the chromium to be determined. The absorbance of the resultant ground state atoms is measured at 357.9 nm and is compared to identically-prepared standard and blank solutions"
Cr-Dis,FAAS-AAc-D,mg/l,Chromium - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with 0.2% nitric acid. To the sample aliquot, add bromine water and warm on a water bath until the colour disappears. The absorbance is then measured spectrometrically at 358.0 nm and the concentration is compared to identically-prepared standard and blank solutions, using air-acetylene oxidising flame."
Cr-Dis,ICP-AES,mg/l,Chromium - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,The sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated and the emission is measured at 267.7 nm and compared to identically-prepared standard and blank solutions.
Cr-Dis,ICP-MS,mg/l,Chromium - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"The sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Cr-Tot,AAS-E,mg/l,Chromium - Total,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,Use graphite furnace AAS at wavelength 357.9 nm to measure chromium.
Cr-Tot,AAS-E-NA-AR,mg/l,Chromium - Total,Electrothermal Atomic Absorption Spectrometric Method with HNO3 or HNO3+3HCl Digestion,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The shaken sample aliquot is digested in nitric acid or aqua regia. The aliquot is then heated, usually in three stages in a graphite furnace or an electrically heated atomiser where: the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the chromium to be determined. The absorbance of the resultant ground state atoms is measured at 357.9 nm and is compared to identically-prepared standard and blank solutions."
Cr-Tot,FAAS-AAc-D-NA,mg/l,Chromium - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with nitric acid. Digest the sample aliquot at pH of 1.6 (usual pH if sample is preserved with 0.2% nitric acid) with nitric acid then add bromine water to the sample aliquot and warm on water bath until the colour disappears. The sample aliquot is aspirated and the absorbance is measured at a wavelength of 358.0 nm and compared to identically-prepared chromium standard and blank solutions, using a C2H2-air reducing flame."
Cr-Tot,ICP-AES-Dgs,mg/l,Chromium - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested with aqua regia and evaporated to near dryness. The residue is dissolved in concentrated HCl and diluted to one-fifth of the aliquot original volume. The emission is measured spectrometrically at 267.7 nm and compared to identically-prepared standard and blank solutions.
Cr-Tot,ICP-AES-Xtr,mg/l,Chromium - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with concentrated nitric acid or aqua regia, concentrated appropriately and aspirated from an autosampler. The emission is measured at 267.7 nm and compared to identically-prepared standard and blank solutions."
Cr-Tot,ICP-MS,mg/l,Chromium - Total,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"The sample is preserved in the field with nitric acid. The sample is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Cr-Tot,ICP-MS-CVD,mg/l,Chromium - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Cr-Tot,ICP-SFMS-CVD,mg/l,Chromium - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Cr-VI,COL-DPC,mg/l,Chromium - Hexavalent,Colorimetric Method (Cr),Colorimetry,SM 3500-Cr B,APHA 2012,"A sample is preserved in the field with mineral acid. The sample aliquot is mixed with diphenylcarbazide in an acid solution. A red-violet colour is produced. (The reaction is very sensitive as the absorbancy index per gram of chromium is approximately 40,000 at 540 nm). The absorbance is measured and compared to identically-prepared standard and blank solutions, ensuring the blank is subtracted, at a wavelength of 540 nm. Note: If the solution is turbid, take an absorbance reading before adding the diphenylcarbazide reagent and correct the absorbance reading of the final coloured solution. Interferences: Hexavalent molybdenum and mercury salts will form a colour with the reagent but the intensities are much lower than chromium at the specified pH (concentration of molybdenum and mercury up to 200 mg/L can be tolerated); vanadium interferes if the concentration is 10 times greater than chromium."
Cr-VI,Cr-COL-PHOT,mg/l,Chromium - Hexavalent,Palintest Photometer Method - Chromium (CHROMICOL),Colorimetry,PHOT.55.AUTO,PALINTEST 2013,"In the Palintest Chromicol method, hexavalent chromium salts in acidic conditions react with diphenylcarbazide to give a purple coloured complex. This provides a measure of the hexavalent chromium (Cr-VI) present in the sample. Fill round test tube to the 10 ml mark. Add one Chromicol No.1 tablet, crush and mix to dissolve. Add one Chromicol No.2 tablet, crush and mix to dissolve. Stand for 10 minutes without disturbing the solution to allow full colour development and to enable any undissolved particles to settle. Take photometer reading in usual manner."
Cr-VI,ICP-AES,mg/l,Chromium - Hexavalent,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,
Cr-VI,JSA1998-K0102-65.2.5,mg/l,Chromium - Hexavalent,Inductively-Coupled Plasma Mass Spectrometry for Hexavalent Chromium (JSA 1998),Spectroscopy,JIS K 0102 65.2.5,JSA 1998,"Pretreat a sample, add an internal standart substance, spray it into an inductively coupled plasma through the sample introducing part, measure the ionic current in each number of mass/electric charges of the chromium and internal standard substance and find the ratio between ionic current of chromium and that of internal standard substance to determine concentration of chromium (VI)."
CRYH,LLE-HPLC-FD-UVD,µg/l,"1,2-Benzophenanthrene",Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
Cu-Dis,AAS-E,mg/l,Copper - Dissolved,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,"The sample is preserved in the field with nitric acid. The sample aliquot is heated, usually in three stages in a graphite furnace or an electrically heated atomiser in which: first, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the copper to be determined. The absorbance of the resultant ground state atoms is measured at 324.7 nm and is compared to identically-prepared standard and blank solutions."
Cu-Dis,COL-DDTC,mg/l,Copper - Dissolved,Colourimetry - DDTC method,Colorimetry,,Chalmers and Dick 1965,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is extracted in a 20% solution of acetylacetone in chloroform to remove the iron interference. Discard the organic phase. The pH of the aqueous phase is adjusted to 10 with an ammonium hydroxide solution. Precipitate all copper by drop-wise addition of sodium diethyldithiocarbamate (DDTC) and extract with three portions of 5:2 mixture of chloroform and acetone. Dilute the combined extracts with chloroform, mix and measure the wavelength in a one cm cell or longer at 440 nm against a blank (the colour is stable for two hours). Compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Cu-Dis,FAAS-AAc-D,mg/l,Copper - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated and the absorbance is measured spectrometrically at 324.7 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Cu-Dis,FAAS-AAc-E,mg/l,Copper - Dissolved,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The pH of the sample aliquot is adjusted to 4.75 with a buffer solution. Ammonium pyrrolidine dithiocarbamate (APDC) solution is added to the aliquot then extracted with a methyl isobutyl ketone (MIBK) solution. The solvent layer (See Appendix 2) is aspirated at the wavelength of 324.7 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Cu-Dis,ICP-AES,mg/l,Copper - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,A sample is filtered in the field through a 0.45 µm filter paper and preserved with nitric acid. The sample aliquot is aspirated and the emission is measured at 324.7 nm and compared to identically-prepared standard and blank solutions.
Cu-Dis,ICP-AES-Xtr,mg/l,Copper - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is concentrated appropriately and aspirated from an autosampler. The emission is measured at 324.7 nm and compared to identically-prepared standard and blank solutions.
Cu-Dis,ICP-MS,mg/l,Copper - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. A sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Cu-Tot,AAS-E-NA-AR,mg/l,Copper - Total,Electrothermal Atomic Absorption Spectrometric Method with HNO3 or HNO3+3HCl Digestion,Spectroscopy,SM 3113 B,APHA 2012,"The sample is preserved in the field with nitric acid. A sample aliquot is digested in nitric acid or aqua regia. The digest is then heated, usually in three stages in a graphite furnace or an electrically heated atomiser where: first, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the copper to be determined. The absorbance of the resultant ground state atoms is measured at 324.7 nm and is compared to identically-prepared standard and blank solutions."
Cu-Tot,COL-BCS,mg/l,Copper - Total,Bathocuproine Method,Colorimetry,SM 3500-Cu C,APHA 2012,"A sample is preserved in the field with nitric acid. To the sample aliquot, blank and standard solutions, add HCl, hydroxylamine hydrochloride, sodium citrate and bathocuproine disulphonate (2,9-dimethyl-4,7-diphenyl-1,10-phenanthrolinedisulphonic acid, disodium salt). An orange complex develops; the solution is then passed through a cell and the absorbance is measured at 484 nm and compared to identically-prepared standard and blank solutions."
Cu-Tot,Cu-COL-PHOT,mg/l,Copper - Total,Palintest Photometer Method - Copper (COPPERCOL),Colorimetry,PHOT.10.AUTO,PALINTEST 2013,"In the Palintest Coppercol method, copper salts are reduced to the cuprous form and then reacted with a 2,2 Biquinoline-4,4-dicarboxylic salt to form a purple coloured complex. Fill test tube with sample to the 10 ml mark. Add one Coppercol No 1 tablet, crush and mix to dissolve. Take photometer reading in usual manner."
Cu-Tot,FAAS-AAc-D-NA,mg/l,Copper - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid. The digest is aspirated and the absorbance is measured spectrometrically at 324.7 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Cu-Tot,FAAS-AAc-E-NA,mg/l,Copper - Total,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 digestion,Spectroscopy,SM 3111 C,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid. The pH of the digest is adjusted to 4.7 with a buffer solution. Ammonium pyrrolidine dithiocarbamate (APDC) solution is added to the digest and then extracted with a methyl isobutyl ketone (MIBK) solution. The solvent layer (See Appendix 5) is aspirated at the wavelength of 324.7 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Cu-Tot,FAAS-APr-D-NA,mg/l,Copper - Total,Direct Air-Propane Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid. The digest is aspirated and the absorbance is measured spectrometrically at 324.7 nm and compared to identically-prepared standard and blank solutions, using an air-propane oxidizing flame."
Cu-Tot,ICP-AES-Dgs,mg/l,Copper - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested in an aqua regia solution and evaporated to near dryness. The residue is dissolved in concentrated HCl and diluted to one-fifth of the aliquot original volume. The emission is measured spectrometrically at 324.7 nm and compared to identically-prepared standard and blank solutions.
Cu-Tot,ICP-AES-Xtr,mg/l,Copper - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured spectrometrically at 324.7 nm and compared to identically-prepared standard and blank solutions."
